Dokument,Thema,Stichwoerter,Relevanz_fuer_Stellungnahmen
251219_Waltersdorf_Anlage1.txt,Artenschutz-Maßnahmenblaetter M1-M11,"CEF, AV, G, Bauzeitenregelung, Monitoring, Feldlerche, Wiesenpieper, Kranich, Zauneidechse",sehr hoch
251219_Waltersdorf_Anlage1.txt,Externe Kompensation,"M8 CEF FL1, M9 CEF WP1, Gemarkung Doebra, dingliche Sicherung",hoch
260204_Waltersdorf_Anlage2.txt,Gruenordnungsplan Bestand,"Biotoptypen, Schutzgebiete, Wald nach SaechsWaldG, Karteninhalt",mittel (unsicher wegen OCR)
260204_Waltersdorf_Anlage2.txt,Gruenordnungsplan Entwicklung,"Entwicklungsflaechen, Ausgleichsflaechen, Doebra",mittel (unsicher wegen OCR)
251219_Waltersdorf_Anlage3.txt,Artenschutzfachbeitrag saP,"§44 BNatSchG, Relevanzpruefung, Verbotstatbestaende, Avifauna, Reptilien, Fledermaeuse",sehr hoch
251219_Waltersdorf_Anlage3.txt,Pruefrelevante Zielarten und Konflikte,"Feldlerche, Wiesenpieper, Rotmilan, Kranich, Haselmaus, Zauneidechse, Habitatverlust",sehr hoch
251219_Waltersdorf_Anlage4.txt,FFH-Vorpruefung (Inhalt nicht lesbar im Extract),"FFH, Natura-2000",potenziell hoch (inhaltlich unsicher)
251219_Waltersdorf_PlanteilAB.txt,Rechtsverbindliche Festsetzungen,"SO1/SO2, GRZ 0.8, Bauhoehe, Einfriedung, Erschliessungsweg, Loeschwasser",sehr hoch
251219_Waltersdorf_PlanteilAB.txt,Gruenordnerische Verbindlichkeit,"M1-M11 verbindlich, Biotopverbund, externe CEF-Flaechen",sehr hoch
251219_Waltersdorf_PlanteilC_UB.txt,Begruendung und Umweltbericht,"Alternativenpruefung, Schutzgueter, Immissionsschutz, Wasserrecht, Bodenschutz, Flaechenbilanz",sehr hoch
251219_Waltersdorf_PlanteilC_UB.txt,Planungsrechtliche Abwaegung und Rueckbau,"30 Jahre Befristung, Rueckbau, EEG/PVFVO, oeffentliches Interesse",hoch
251219_Waltersdorf_PlanteilD.txt,Vorhaben- und Erschliessungsplan,"Baufelder, Modulaufstellung, Nebenanlagen, Wege, Zaun, Loeschwasser",hoch
251219_Waltersdorf_PlanteilD.txt,Raeumliche Umsetzungsdetails,"Geltungsbereich SO1/SO2, Sichtschutz, Erschliessung gefangener Flurstuecke",hoch (teilweise OCR-unsicher)
